PatientID,Age,AadhaarNumber,DeliveryType,LOS,Complications,Readmitted,Location,ConsentObtained
PT0064,41,1277-5880-1174,Vaginal,2,No,No,Urban,Yes
PT0065,24,5028-1466-6482,Vaginal,3,No,No,Urban,Yes
PT0066,38,7108-2013-4563,Vaginal,4,No,No,Suburban,Yes
PT0067,21,5697-2856-8712,C-Section,2,Yes,No,Urban,Yes
PT0068,23,4493-2658-8207,C-Section,4,Yes,No,Suburban,Yes
PT0069,34,2934-2563-5531,C-Section,2,Yes,No,Urban,No
PT0070,23,1753-3818-7646,Vaginal,3,No,No,Urban,Yes
PT0071,37,5792-5737-3542,C-Section,2,Yes,No,Urban,Yes
PT0072,26,9434-4102-1329,Vaginal,3,No,No,Urban,Yes
PT0073,27,2239-3800-3884,Vaginal,4,No,No,Suburban,Yes
PT0074,21,3349-4884-2950,Vaginal,2,No,No,Urban,Yes
PT0075,33,5176-2093-2716,C-Section,2,Yes,No,Urban,Yes
PT0076,41,5775-1815-2663,Vaginal,3,No,No,Urban,Yes
PT0077,39,4531-2319-7949,Vaginal,2,No,No,Urban,Yes
PT0078,26,9502-2624-8124,Vaginal,2,No,No,Urban,Yes
PT0079,24,2952-2446-4193,Vaginal,3,No,No,Urban,Yes
PT0080,36,4379-1850-4500,Vaginal,3,No,No,Urban,Yes
PT0081,24,3890-9752-8528,Vaginal,3,No,No,Urban,Yes
PT0082,31,5255-9877-3809,Vaginal,2,No,No,Urban,Yes
PT0083,39,5998-6716-8057,Vaginal,3,Yes,No,Urban,Yes
PT0084,28,6575-4370-2865,C-Section,2,No,No,Urban,Yes
PT0085,22,4429-7047-2201,C-Section,2,Yes,No,Urban,Yes
PT0086,35,7894-7528-9983,Vaginal,3,No,No,Urban,Yes
PT0087,28,6127-6435-6278,Vaginal,2,Yes,No,Urban,Yes
PT0088,23,9155-9675-3298,C-Section,2,No,No,Urban,Yes
PT0089,22,6040-3875-4574,C-Section,4,Yes,No,Suburban,Yes
PT0090,21,4842-5294-3210,Vaginal,2,No,No,Urban,Yes
PT0091,29,2904-2270-6148,C-Section,3,No,No,Urban,Yes
PT0092,31,6113-1303-1148,C-Section,2,Yes,No,Urban,Yes
PT0093,40,4729-4367-6078,Vaginal,2,No,No,Urban,Yes
PT0094,29,6458-3135-6265,C-Section,2,No,Yes,Urban,Yes
PT0095,31,7461-7471-7549,Vaginal,3,No,No,Urban,Yes
PT0096,27,6278-2097-1137,Vaginal,3,No,No,Urban,Yes
PT0097,30,9833-3964-5751,C-Section,4,No,No,Suburban,Yes
PT0098,35,5590-8786-7777,C-Section,3,Yes,No,Urban,Yes
PT0099,35,6155-4010-2043,Vaginal,3,No,No,Urban,Yes
PT0100,24,6600-6864-4878,Vaginal,2,No,No,Urban,Yes
